ReturnID,SalesID,ReturnDateID,ReturnReason,RefundAmount
71,570187,1933,Late Delivery,1226.18
72,525829,1097,Not Needed,14978.0
73,540753,1123,Others,7858.08
74,3434,849,Wrong Item,1992.35
75,210277,1171,Wrong Item,720.23
76,209014,386,Others,860.33
77,938001,2047,Not Needed,6685.94
78,278870,1045,Late Delivery,2353.55
79,889817,30,Wrong Item,9478.85
80,3472,1631,Damaged,1830.39
81,274433,2042,Wrong Item,7106.42
82,862143,2056,Wrong Item,1572.57
83,509238,1921,Wrong Item,12409.9
84,984760,695,Others,2513.82
85,289498,328,Others,2072.71
86,176055,1357,Not Needed,2724.38
87,965423,238,Damaged,6965.41
88,472766,52,Not Needed,4074.06
89,23157,248,Late Delivery,4535.69
90,559992,196,Late Delivery,5919.86
91,943369,2348,Wrong Item,2852.1
92,247050,708,Damaged,1040.4
93,228461,2358,Not Needed,8245.87
94,588049,2278,Others,2786.44
95,983126,2175,Not Needed,18550.94
96,65727,1611,Damaged,23052.22
97,39520,1621,Damaged,17415.7
98,650935,1241,Wrong Item,8284.2
99,130083,1282,Wrong Item,15760.03
100,124256,1171,Damaged,13678.91
101,812228,2314,Late Delivery,383.64
102,922348,276,Not Needed,481.0
103,107646,218,Others,2510.66
104,239931,774,Others,5047.77
105,894502,582,Not Needed,4967.35
106,372760,706,Others,13895.81
107,306137,1520,Late Delivery,2091.35
108,896045,1133,Others,6494.16
109,571484,2002,Damaged,4429.32
110,483438,1555,Others,2590.11
111,760719,758,Not Needed,3414.98
112,606085,930,Wrong Item,6083.32
113,365528,1456,Others,15906.51
114,774719,1811,Damaged,2266.25
115,735256,1111,Damaged,4563.48
116,816938,73,Late Delivery,4307.07
117,897055,2199,Others,12745.78
118,778116,1006,Others,4821.89
119,883912,1157,Wrong Item,930.86
120,794888,1633,Not Needed,8055.31
121,814977,2392,Others,14858.07
122,949792,16,Late Delivery,973.94
123,609380,1885,Damaged,2494.66
124,442708,1705,Late Delivery,6157.87
125,860503,2039,Not Needed,6127.9
126,883733,2411,Damaged,7735.68
127,145220,1596,Wrong Item,2549.99
128,25384,1189,Late Delivery,455.34
129,297297,258,Others,2788.12
130,24000,674,Wrong Item,19791.3
131,983333,2338,Not Needed,8053.64
132,607689,2355,Others,6030.69
133,688712,1508,Not Needed,1445.5
134,372096,608,Wrong Item,9946.82
135,427570,1836,Damaged,17319.89
136,557944,1380,Late Delivery,9085.08
137,854281,1919,Not Needed,1069.14
138,31414,1679,Others,645.2
139,436720,792,Damaged,3175.97
140,678744,710,Late Delivery,574.11
141,156924,408,Damaged,3755.78
142,19109,1632,Not Needed,4346.12
143,329158,95,Damaged,1542.51
144,588984,1564,Others,15880.1
145,992632,1543,Others,19489.72
146,196629,2322,Not Needed,7445.44
147,936900,2420,Not Needed,34301.96
148,966271,473,Others,8758.21
149,578191,2210,Not Needed,9616.61
150,161220,2273,Not Needed,10964.52
151,379079,2435,Damaged,2244.43
152,409828,1420,Others,1090.42
153,891740,2414,Not Needed,6861.45
154,316091,1571,Late Delivery,281.64
155,17092,829,Others,2785.46
156,791847,2064,Not Needed,887.2
157,206199,2202,Wrong Item,1569.68
158,491916,796,Wrong Item,763.1
159,651563,248,Damaged,1254.64
160,181903,54,Late Delivery,3541.09
161,511593,80,Late Delivery,3126.89
162,450732,1992,Others,8156.3
163,459751,295,Damaged,525.05
164,418397,1996,Wrong Item,11622.93
165,275897,2481,Wrong Item,15284.8
166,51755,442,Wrong Item,10906.78
167,195111,1510,Damaged,13092.96
168,701086,1690,Late Delivery,16240.02
169,958403,199,Wrong Item,22719.06
170,655054,2162,Not Needed,28785.93
171,795250,1949,Late Delivery,2583.57
172,372172,2232,Late Delivery,2572.51
173,326348,2201,Damaged,7949.97
174,742148,344,Late Delivery,12169.52
175,638753,76,Late Delivery,9047.7
176,280960,2227,Late Delivery,5019.82
177,447362,2337,Others,1360.54
178,205396,323,Late Delivery,2606.93
179,886567,1556,Wrong Item,7940.02
180,568395,659,Damaged,8404.71
181,182367,2159,Damaged,10440.2
182,527887,410,Others,1939.27
183,917188,2321,Others,1705.74
184,700993,1491,Damaged,1787.09
185,37109,2397,Not Needed,1650.38
186,493059,194,Damaged,1012.88
187,102214,2386,Damaged,6134.78
188,533545,2405,Wrong Item,2614.19
189,258625,282,Damaged,14420.22
190,711062,2519,Others,7657.64
191,390399,2036,Late Delivery,2041.72
192,55989,329,Late Delivery,5712.56
193,677757,1308,Others,2975.37
194,410624,2288,Wrong Item,14463.99
195,773115,1643,Wrong Item,7008.08
196,682903,2107,Damaged,6048.86
197,29728,2241,Others,6675.83
198,37412,1253,Late Delivery,24288.66
199,878706,2325,Late Delivery,1132.84
200,765652,403,Late Delivery,7581.06
201,31722,2179,Wrong Item,12858.43
202,295537,2254,Not Needed,18516.76
203,102979,1391,Late Delivery,1156.18
204,318724,1962,Late Delivery,2693.91
205,416796,1889,Wrong Item,23244.99
206,849683,892,Others,1781.02
207,90608,516,Not Needed,2769.22
208,450781,1096,Not Needed,2490.91
209,235623,898,Late Delivery,12266.18
210,853182,2123,Damaged,23627.18
211,188599,1264,Wrong Item,4551.85
212,859518,272,Late Delivery,2103.34
213,542485,987,Late Delivery,4093.77
214,474707,1305,Not Needed,3591.71
215,565686,654,Not Needed,17342.21
216,321396,2349,Wrong Item,10257.66
217,742956,479,Late Delivery,3631.0
218,102757,1533,Late Delivery,19249.18
219,880052,2380,Late Delivery,8882.97
220,312640,2393,Not Needed,1104.51
221,701452,2015,Late Delivery,783.78
222,302118,1942,Wrong Item,1837.57
223,478993,596,Late Delivery,22049.19
224,500842,1305,Wrong Item,13653.73
225,751510,131,Damaged,2431.48
226,623397,2518,Damaged,6121.61
227,76113,1552,Not Needed,803.99
228,354690,654,Damaged,5231.06
229,238244,1435,Wrong Item,20261.63
230,686857,279,Others,14449.5
231,948782,2477,Damaged,3358.38
232,993846,2450,Damaged,18320.73
233,372876,53,Damaged,17213.18
234,358412,733,Others,3763.58
235,971479,1506,Others,14689.27
236,857305,2137,Not Needed,4177.09
237,210232,2336,Wrong Item,1795.95
238,439004,855,Not Needed,7417.55
239,200078,953,Damaged,19962.45
240,568620,148,Not Needed,4830.36
241,164633,2207,Wrong Item,2149.32
242,107857,1425,Wrong Item,7839.05
243,537435,485,Damaged,353.07
244,622677,2031,Late Delivery,5158.62
245,338393,196,Wrong Item,1194.99
246,265584,891,Others,13212.24
247,72390,2429,Late Delivery,1648.66
248,121218,135,Others,8729.73
249,645957,2260,Not Needed,1603.92
250,897658,1159,Not Needed,9143.85
251,990439,402,Damaged,8506.04
252,957254,63,Others,569.56
253,275148,472,Wrong Item,25011.08
254,245080,1468,Others,16165.84
255,949135,1044,Late Delivery,6045.03
256,253666,1164,Wrong Item,6620.01
257,782203,1950,Others,17144.88
258,271824,1859,Damaged,10593.04
259,688723,2036,Late Delivery,2386.8
260,332660,229,Not Needed,2381.21
261,951405,2218,Not Needed,2084.87
262,497868,1044,Damaged,3065.46
263,201632,25,Late Delivery,9019.94
264,89598,78,Not Needed,2031.22
265,485595,470,Late Delivery,9462.18
266,440682,593,Not Needed,1879.72
267,276040,64,Late Delivery,1696.89
268,425285,2182,Damaged,2818.83
269,583211,2337,Late Delivery,14158.04
270,563531,2039,Others,1037.9
271,493937,1311,Wrong Item,557.64
272,648078,1404,Not Needed,1517.92
273,314248,1163,Others,2442.57
274,289395,418,Wrong Item,2195.78
275,385717,1565,Damaged,1943.89
276,704095,2151,Damaged,542.89
277,435154,1643,Damaged,4826.89
278,114378,2368,Damaged,2718.44
279,636400,1287,Late Delivery,3718.65
280,68268,447,Wrong Item,402.15
281,96609,1840,Wrong Item,8376.41
282,753034,2238,Late Delivery,22356.45
283,10239,1970,Others,5971.17
284,935440,1616,Not Needed,6703.49
285,411013,2538,Others,11906.23
286,823265,2490,Damaged,17196.15
287,940675,2253,Others,8071.68
288,571792,2052,Damaged,20301.31
289,849995,1890,Wrong Item,3600.36
290,98269,1439,Late Delivery,7952.29
291,876132,1957,Others,13405.18
292,365566,2105,Not Needed,6567.92
293,423875,2068,Wrong Item,10752.38
294,888737,126,Late Delivery,2398.88
295,23128,1091,Not Needed,2765.35
296,657425,522,Late Delivery,23560.39
297,910103,2454,Wrong Item,1011.25
298,949060,656,Damaged,2932.91
299,178548,1718,Others,7202.13
300,52969,1083,Others,5280.14
301,69954,1098,Not Needed,5119.62
302,758684,337,Others,843.36
303,59840,1191,Not Needed,744.36
304,514744,1606,Wrong Item,23246.42
305,458655,1329,Not Needed,5171.94
306,81229,922,Not Needed,26195.19
307,213624,2188,Wrong Item,9755.28
308,619779,1004,Not Needed,2374.68
309,768789,700,Not Needed,5926.35
310,548222,663,Late Delivery,7399.92
311,534287,2420,Others,5308.25
312,43022,2200,Wrong Item,7409.27
313,952095,2332,Others,2369.44
314,130119,2334,Wrong Item,3895.01
315,600214,1866,Late Delivery,5772.91
316,64467,686,Late Delivery,3867.53
317,402614,664,Wrong Item,6555.11
318,92003,941,Others,497.88
319,977317,502,Others,29.92
320,939988,335,Late Delivery,2554.96
321,780666,640,Damaged,7894.77
322,812629,1237,Damaged,8319.78
323,89229,114,Not Needed,8137.11
324,532045,1165,Not Needed,2785.22
325,916821,1658,Late Delivery,2074.71
326,780884,1675,Damaged,11886.91
327,390113,672,Late Delivery,7532.51
328,139492,681,Not Needed,545.85
329,591537,482,Damaged,1965.91
330,707414,1513,Wrong Item,1165.21
331,505460,669,Others,23994.11
332,245969,576,Late Delivery,6551.0
333,108578,1968,Not Needed,10174.79
334,892106,1889,Not Needed,14260.18
335,801348,1961,Damaged,3729.16
336,322409,464,Not Needed,5887.23
337,793163,858,Late Delivery,15271.98
338,757679,2038,Damaged,29070.04
339,230763,410,Not Needed,7015.33
340,910664,1462,Not Needed,8375.76
341,746949,414,Others,3176.08
342,998082,1113,Damaged,8052.05
343,339274,2192,Late Delivery,17300.95
344,528901,1884,Others,2438.91
345,333657,1039,Late Delivery,10154.26
346,656381,525,Late Delivery,206.47
347,41203,2462,Late Delivery,4029.7
348,874507,706,Others,12843.73
349,969702,1829,Late Delivery,1832.53
350,624157,437,Damaged,7126.99
351,579894,1149,Others,15335.2
352,613772,469,Damaged,5933.0
353,954500,1669,Wrong Item,132.13
354,648106,2484,Damaged,333.28
355,541311,2454,Late Delivery,3086.6
356,154858,811,Others,2035.79
357,766107,1252,Damaged,21495.49
358,881735,543,Wrong Item,3227.71
359,66471,2076,Not Needed,1481.03
360,759418,1653,Wrong Item,959.85
361,392887,862,Others,6521.66
362,654497,1883,Late Delivery,1758.81
363,35513,2209,Others,2732.48
364,37150,2541,Wrong Item,4226.67
365,350622,1975,Late Delivery,1278.41
366,940469,1837,Damaged,3327.79
367,840408,2228,Wrong Item,7334.04
368,685671,1626,Others,3844.97
369,39417,2283,Damaged,1314.91
370,393081,1762,Damaged,1133.89
371,872637,889,Late Delivery,4146.51
372,612073,1732,Others,850.57
373,881080,1612,Others,338.15
374,673064,1610,Late Delivery,16229.79
375,4934,2550,Late Delivery,11469.92
376,637610,1920,Wrong Item,24462.27
377,548139,672,Late Delivery,2859.01
378,454068,2523,Others,1068.98
379,163196,385,Late Delivery,4776.77
380,995921,1952,Not Needed,23700.32
381,500740,2386,Wrong Item,2635.5
382,204282,518,Damaged,1831.44
383,586911,1281,Wrong Item,3142.86
384,376324,1571,Damaged,5748.22
385,900523,151,Not Needed,2412.17
386,489807,410,Wrong Item,893.48
387,498533,1408,Wrong Item,3356.87
388,822683,822,Late Delivery,2249.76
389,443274,252,Wrong Item,3197.0
390,304210,647,Damaged,729.66
391,475600,802,Others,6510.48
392,555715,30,Not Needed,5167.63
393,384881,2397,Damaged,480.22
394,60867,170,Damaged,5437.99
395,611705,585,Not Needed,513.63
396,454427,1962,Damaged,5874.6
397,91949,307,Late Delivery,3741.82
398,98883,430,Others,4013.25
399,935749,8,Late Delivery,32704.91
400,707709,97,Late Delivery,1253.63
401,563827,1488,Wrong Item,3328.6
402,652546,250,Not Needed,14185.29
403,392287,466,Damaged,2942.11
404,289339,2333,Others,6307.49
405,353245,1200,Not Needed,3088.47
406,11951,1288,Others,2660.15
407,895419,721,Damaged,1241.77
408,800938,2033,Wrong Item,2321.2
409,780407,1817,Not Needed,32516.46
410,133500,470,Late Delivery,4698.8
411,983507,1653,Wrong Item,497.44
412,846264,1738,Late Delivery,4266.88
413,866043,1443,Wrong Item,13435.25
414,249876,1166,Others,789.85
415,666838,1586,Wrong Item,4991.0
416,924024,1099,Damaged,2825.44
417,35266,1125,Late Delivery,1491.29
418,2976,821,Damaged,4527.15
419,439567,1586,Damaged,588.18
420,934201,925,Others,2212.85
421,977013,362,Not Needed,9441.95
422,263978,207,Late Delivery,33802.57
423,313820,2083,Late Delivery,10551.91
424,609691,658,Damaged,4560.41
425,417651,183,Not Needed,3387.58
426,379141,1160,Late Delivery,34863.24
427,247811,496,Wrong Item,1010.9
428,344097,2432,Late Delivery,16953.45
429,302843,985,Wrong Item,20902.46
430,885671,1931,Damaged,77.47
431,406192,931,Others,6953.86
432,153563,1381,Others,1690.02
433,195081,1313,Wrong Item,5236.52
434,1590,265,Damaged,2425.4
435,839110,1722,Not Needed,11245.17
436,845097,2554,Wrong Item,3074.12
437,995993,1299,Wrong Item,5878.32
438,943811,1280,Others,5772.21
439,105794,1070,Not Needed,11097.81
440,940838,387,Late Delivery,7729.23
441,323679,1057,Not Needed,7386.55
442,69981,2223,Wrong Item,1153.84
443,846004,1379,Not Needed,7587.58
444,586433,297,Not Needed,16882.68
445,354154,1907,Not Needed,3850.17
446,612591,1038,Damaged,747.63
447,111957,2462,Wrong Item,5264.11
448,538154,2093,Others,14754.55
449,159732,2388,Wrong Item,2373.93
450,437868,1811,Late Delivery,3625.04
451,518221,1142,Damaged,1687.98
452,135994,420,Damaged,9935.92
453,124713,2362,Wrong Item,4689.69
454,875283,1281,Late Delivery,707.36
455,14667,779,Not Needed,3355.6
456,949650,2370,Not Needed,2463.13
457,662514,693,Others,17445.97
458,658366,1939,Others,2850.28
459,940206,1251,Not Needed,5369.54
460,794092,905,Late Delivery,1275.17
461,619378,421,Damaged,3038.65
462,491107,1301,Others,4274.59
463,424687,459,Others,11856.84
464,562635,1626,Wrong Item,654.88
465,244079,1250,Not Needed,4932.4
466,983352,1040,Damaged,9544.89
467,338793,692,Not Needed,4580.36
468,359012,588,Others,3743.19
469,82566,990,Damaged,10471.4
470,611327,280,Late Delivery,2095.33
471,925380,655,Damaged,3475.01
472,212232,984,Not Needed,5677.93
473,519957,634,Wrong Item,9179.81
474,699565,350,Not Needed,2240.08
475,122450,170,Not Needed,13256.4
476,749108,1179,Not Needed,1199.51
477,881602,2161,Damaged,10097.86
478,722491,1178,Not Needed,9717.92
479,953396,1804,Late Delivery,1813.83
480,906623,1672,Late Delivery,18279.31
481,652389,1658,Others,1073.03
482,434449,609,Late Delivery,3205.26
483,620471,1754,Late Delivery,18123.21
484,464562,2393,Others,8123.69
485,451935,2415,Others,1659.28
486,850552,2182,Not Needed,14627.72
487,953526,1167,Not Needed,3442.26
488,619327,1307,Not Needed,255.01
489,399314,1089,Wrong Item,761.27
490,265695,2318,Not Needed,743.47
491,206065,1946,Late Delivery,2684.34
492,221179,1035,Not Needed,8895.13
493,7732,1848,Wrong Item,280.24
494,20275,2205,Late Delivery,8424.06
495,587959,53,Damaged,5302.46
496,840213,1267,Wrong Item,8300.7
497,225288,941,Wrong Item,6939.32
498,571292,77,Not Needed,1165.69
499,27713,1886,Late Delivery,10992.39
500,427159,2288,Not Needed,7418.96
501,108709,143,Not Needed,5052.44
502,188003,2511,Damaged,331.6
503,388494,399,Damaged,2528.75
504,541849,1516,Not Needed,4663.74
505,990711,2142,Wrong Item,7663.37
506,69026,701,Not Needed,1944.74
507,513599,2171,Wrong Item,8618.0
508,952974,173,Not Needed,269.86
509,887968,1548,Others,7387.29
510,330727,2139,Damaged,6652.42
511,663528,1241,Late Delivery,11361.7
512,124353,196,Not Needed,13524.54
513,210956,349,Wrong Item,6589.98
514,975257,1270,Wrong Item,4786.31
515,550996,2357,Damaged,19374.49
516,915104,2481,Not Needed,2939.76
517,566624,1187,Late Delivery,9163.55
518,541761,1578,Wrong Item,276.94
519,68165,2384,Late Delivery,2169.94
520,202282,1507,Others,7294.22
521,372343,930,Others,6835.73
522,153583,2092,Not Needed,9918.28
523,668872,912,Late Delivery,5534.11
524,635157,1594,Wrong Item,1104.56
525,581982,567,Late Delivery,37109.14
526,471467,315,Others,3036.59
527,938999,762,Not Needed,639.28
528,361321,208,Late Delivery,2552.72
529,903497,2349,Late Delivery,2047.21
530,702578,1006,Wrong Item,5943.76
531,268741,1731,Not Needed,6112.28
532,4740,330,Late Delivery,13489.07
533,101376,389,Damaged,4161.31
534,63095,2217,Late Delivery,3560.49
535,100190,1601,Late Delivery,28344.48
536,339081,1292,Damaged,3770.37
537,172496,1768,Damaged,11568.99
538,604758,822,Others,6808.4
539,911291,422,Others,24085.21
540,886573,653,Late Delivery,10526.59
541,581181,807,Others,2330.75
542,199994,1085,Damaged,6789.94
543,792380,1854,Wrong Item,1551.64
544,620337,65,Damaged,3885.55
545,519659,732,Others,7942.43
546,394247,1735,Damaged,1640.17
547,964562,1642,Wrong Item,2050.47
548,708137,236,Not Needed,3230.49
549,410995,2126,Not Needed,307.31
550,500479,386,Others,3395.71
551,545192,1397,Wrong Item,893.96
552,948896,1089,Damaged,14372.48
553,966082,2445,Not Needed,4017.13
554,867595,1368,Wrong Item,5392.42
555,164382,1608,Late Delivery,1973.63
556,20388,831,Others,7877.11
557,601754,2555,Others,7116.31
558,631976,2338,Wrong Item,150.59
559,26748,1372,Wrong Item,4103.99
560,745022,1018,Others,5066.61
561,628918,466,Damaged,3873.9
562,137860,100,Late Delivery,9592.79
563,568318,868,Not Needed,4731.15
564,997362,250,Others,2928.02
565,709597,1723,Damaged,602.21
566,128733,1123,Wrong Item,2718.25
567,231899,2195,Not Needed,1238.01
568,208828,1153,Damaged,578.72
569,408309,1698,Damaged,1510.58
570,617702,1212,Late Delivery,7341.35
571,161007,881,Late Delivery,3620.92
572,791974,92,Late Delivery,3980.72
573,548095,1421,Not Needed,16198.37
574,38742,907,Others,6532.74
575,617638,1361,Not Needed,27792.35
576,505014,2293,Late Delivery,87.59
577,919362,1050,Damaged,16368.88
578,487658,692,Not Needed,2482.73
579,682663,1055,Others,1687.23
580,107732,477,Late Delivery,19992.67
581,10151,1782,Damaged,6730.09
582,661424,1187,Late Delivery,18381.56
583,628486,1384,Others,2379.38
584,162470,1353,Not Needed,5591.45
585,769557,1461,Wrong Item,8927.49
586,569720,565,Not Needed,2435.7
587,813262,662,Others,2345.65
588,397978,1473,Others,3220.57
589,334811,1849,Damaged,7020.25
590,783053,1357,Not Needed,22265.2
591,190048,2487,Not Needed,12241.5
592,170292,1027,Wrong Item,1844.63
593,181973,1395,Not Needed,8490.95
594,212063,512,Others,10846.82
595,917755,1382,Late Delivery,18166.95
596,328829,753,Damaged,5187.62
597,811266,277,Damaged,11893.89
598,33508,1806,Wrong Item,2264.62
599,565056,2340,Others,610.27
600,637562,9,Not Needed,6347.99
601,421096,1872,Wrong Item,1734.38
602,420925,2178,Not Needed,4593.47
603,182475,2016,Late Delivery,9221.64
604,652444,2471,Others,8157.59
605,472749,1141,Damaged,3682.53
606,116860,1260,Damaged,2437.36
607,680415,1732,Damaged,13227.1
608,720601,2357,Wrong Item,2024.75
609,198194,2461,Others,6460.64
610,735355,2425,Damaged,4501.45
611,799114,732,Late Delivery,2550.73
612,410266,937,Damaged,209.31
613,968344,1103,Late Delivery,1024.71
614,406218,1456,Damaged,8709.35
615,303348,1556,Not Needed,6243.37
616,298846,2067,Damaged,22146.6
617,309627,998,Others,185.7
618,426961,579,Not Needed,6229.22
619,766589,1743,Others,574.26
620,111735,2071,Others,10899.94
621,968830,1174,Late Delivery,2314.2
622,803152,1891,Wrong Item,9520.4
623,40934,1602,Others,4045.87
624,635460,2437,Late Delivery,387.94
625,76790,2479,Late Delivery,1891.12
626,991602,1809,Others,5743.32
627,813240,509,Wrong Item,5368.93
628,648355,697,Wrong Item,132.37
629,325516,1030,Late Delivery,10396.4
630,586178,976,Not Needed,1965.03
631,640770,2514,Others,1931.2
632,605765,946,Late Delivery,463.04
633,533453,2351,Late Delivery,14326.82
634,35438,633,Others,498.96
635,96016,6,Others,7820.85
636,970106,2131,Late Delivery,1766.57
637,539123,1166,Others,5760.73
638,133166,2179,Damaged,6954.32
639,500786,1713,Damaged,4121.47
640,985894,2277,Wrong Item,11422.28
641,421254,599,Others,9870.87
642,34178,1970,Damaged,4514.59
643,566137,854,Others,3431.4
644,309231,1280,Wrong Item,2969.61
645,77327,1566,Damaged,2680.58
646,390744,1354,Late Delivery,12301.39
647,693543,559,Wrong Item,1432.17
648,440751,1198,Not Needed,9766.7
649,795112,341,Wrong Item,16792.93
650,691278,2157,Damaged,2752.55
651,24442,267,Damaged,5874.89
652,655034,1307,Wrong Item,3806.86
653,916591,684,Not Needed,288.8
654,28781,360,Damaged,2326.46
655,104892,904,Others,2427.43
656,107708,150,Not Needed,3022.33
657,452590,1319,Others,26113.04
658,116077,274,Others,1186.91
659,278974,1861,Others,8368.49
660,143427,714,Wrong Item,4590.68
661,273190,711,Others,732.59
662,93205,1988,Not Needed,1632.15
663,760557,2395,Wrong Item,12204.32
664,727605,144,Late Delivery,2694.58
665,482323,90,Not Needed,1296.4
666,525645,1402,Not Needed,5496.53
667,15142,268,Late Delivery,11579.38
668,502638,2222,Wrong Item,10076.81
669,38261,1926,Wrong Item,10657.31
670,361979,634,Not Needed,6182.98
671,971147,95,Damaged,1140.72
672,982027,209,Late Delivery,2077.78
673,895049,998,Not Needed,8871.56
674,127272,594,Others,10822.68
675,121195,1956,Damaged,609.18
676,38117,1964,Damaged,7781.73
677,988286,1441,Wrong Item,16251.3
678,782577,1367,Not Needed,5423.18
679,298366,1096,Others,5990.49
680,998555,1499,Late Delivery,7512.13
681,114157,530,Not Needed,9232.52
682,882604,80,Others,12596.12
683,250161,1684,Damaged,5209.02
684,678429,1434,Not Needed,12217.92
685,716136,2304,Others,14834.51
686,794414,326,Others,2342.33
687,994170,1288,Late Delivery,9560.0
688,361200,1651,Damaged,4968.59
689,329505,1682,Others,3878.8
690,9575,1575,Others,21685.08
691,756917,784,Not Needed,31516.26
692,827255,917,Wrong Item,17832.34
693,307532,2456,Others,15117.54
694,377656,1874,Others,1576.15
695,430540,1720,Damaged,7985.02
696,945890,882,Late Delivery,5574.57
697,818149,1286,Late Delivery,3517.29
698,172604,190,Damaged,1198.73
699,711544,599,Late Delivery,4992.73
700,604944,2277,Late Delivery,4094.86
701,647455,1252,Wrong Item,3303.82
702,410853,1213,Others,390.89
703,299114,2387,Damaged,16633.1
704,633613,152,Not Needed,20551.41
705,731166,1112,Others,4280.17
706,915197,974,Others,342.75
707,76320,813,Late Delivery,279.09
708,920639,2070,Others,10461.92
709,976469,806,Wrong Item,1714.65
710,455185,2194,Others,7807.56
711,497067,1866,Wrong Item,11513.02
712,748883,921,Others,761.54
713,994204,1337,Not Needed,4172.85
714,352163,2321,Late Delivery,10218.98
715,302882,2412,Late Delivery,12703.17
716,604175,1898,Others,2461.58
717,638270,620,Late Delivery,3310.95
718,775728,2378,Damaged,3795.23
719,10698,698,Damaged,7752.28
720,359961,605,Damaged,1778.35
721,966688,70,Late Delivery,9475.64
722,119837,582,Not Needed,9139.58
723,33366,1730,Wrong Item,4703.82
724,16356,1884,Others,5543.55
725,885558,1858,Late Delivery,12884.57
726,875741,2062,Others,12955.18
727,470621,2459,Others,8188.74
728,439616,1423,Late Delivery,5817.51
729,454938,1179,Late Delivery,8362.3
730,670810,707,Late Delivery,1074.68
731,283124,361,Not Needed,11064.29
732,15275,689,Not Needed,694.67
733,714081,54,Late Delivery,16196.82
734,99516,1981,Others,11585.51
735,947101,1584,Damaged,3124.31
736,657003,1919,Damaged,181.54
737,422235,842,Wrong Item,9283.83
738,153664,1412,Others,6420.51
739,905543,1750,Late Delivery,1618.64
740,688972,422,Late Delivery,4474.22
741,633922,574,Wrong Item,135.41
742,831978,716,Wrong Item,3748.5
743,960797,878,Others,592.53
744,934127,1421,Others,5767.41
745,531551,1171,Wrong Item,2472.44
746,504547,674,Not Needed,13112.01
747,535662,913,Damaged,5141.3
748,637769,2249,Not Needed,12858.79
749,142527,2124,Late Delivery,755.39
750,613823,1500,Late Delivery,1181.49
751,691861,1536,Others,1545.69
752,156542,1578,Others,1936.4
753,165266,2105,Not Needed,1494.89
754,42289,1765,Others,1894.18
755,48139,1218,Wrong Item,6804.84
756,60442,1277,Not Needed,3955.24
757,805029,543,Late Delivery,4374.05
758,100834,1418,Others,6572.64
759,915310,145,Others,1972.81
760,847935,1473,Not Needed,5071.29
761,322889,1558,Others,335.68
762,78152,1385,Damaged,8734.66
763,832892,1328,Damaged,17438.94
764,192234,82,Not Needed,22199.92
765,436470,656,Not Needed,8647.65
766,309891,1369,Late Delivery,50.56
767,717949,2261,Others,6484.92
768,283184,853,Not Needed,9161.94
769,936022,2257,Wrong Item,11392.74
